name,links,location,min_money,max_money,currency
Data scientist,https://vladimir.hh.ru/vacancy/74376536?from=vacancy_search_list&query=data+science,Москва,200000.0,240000.0,руб.
Quantitative Analyst,https://vladimir.hh.ru/vacancy/76506452?from=vacancy_search_list&query=data+science,Кипр,5000.0,8000.0,EUR
Machine Learning Engineer,https://vladimir.hh.ru/vacancy/76983946?from=vacancy_search_list&query=data+science,Баку,4000.0,8000.0,USD
Middle/Senior Data Engineer,https://vladimir.hh.ru/vacancy/71220088?from=vacancy_search_list&query=data+science,"Москва, Домодедовская",,200000.0,руб.
Data-engeneer (Middle),https://vladimir.hh.ru/vacancy/76921562?from=vacancy_search_list&query=data+science,Москва,250000.0,300000.0,руб.
Data Engineer (GoLang Developer),https://vladimir.hh.ru/vacancy/77019966?from=vacancy_search_list&query=data+science,Турция,,4000.0,EUR
Cloud Data Engineer,https://vladimir.hh.ru/vacancy/77111587?from=vacancy_search_list&query=data+science,Алматы,,2000.0,EUR
Senior Python разработчик (Intelligent Document Processing),https://vladimir.hh.ru/vacancy/77016383?from=vacancy_search_list&query=data+science,"Москва, Кожуховская",200000.0,400000.0,руб.
"Bioinformatics Developer, New Zealand",https://vladimir.hh.ru/vacancy/76866591?from=vacancy_search_list&query=data+science,Москва,5000.0,7500.0,USD
"Bioinformatics Developer, New Zealand",https://vladimir.hh.ru/vacancy/76866592?from=vacancy_search_list&query=data+science,Санкт-Петербург,5000.0,7500.0,USD
Аналитик данных / Data Analyst / Data Scientist,https://vladimir.hh.ru/vacancy/76962324?from=vacancy_search_list&query=data+science,Нижний Новгород,,80000.0,руб.
Менеджер по продажам образовательных программ международной школы Data Science и программирования,https://vladimir.hh.ru/vacancy/76241511?from=vacancy_search_list&query=data+science,Москва,30000.0,100000.0,руб.
Data Engineer (GoLang Developer),https://vladimir.hh.ru/vacancy/77020277?from=vacancy_search_list&query=data+science,Батуми,,4000.0,EUR
Global Head of Data Science & Analytics,https://vladimir.hh.ru/vacancy/76765162?from=vacancy_search_list&query=data+science,Санкт-Петербург,550000.0,,руб.
Data scientist (math modeling),https://vladimir.hh.ru/vacancy/76674451?from=vacancy_search_list&query=data+science,Москва,4000.0,10000.0,USD
Middle Data Analyst / Middle Аналитик данных (Data Science),https://vladimir.hh.ru/vacancy/69651005?from=vacancy_search_list&query=data+science,"Нижний Новгород, Горьковская",100000.0,150000.0,руб.
Системный аналитик (systems analyst),https://vladimir.hh.ru/vacancy/77145441?from=vacancy_search_list&query=data+science,Казань,,120000.0,руб.
Продакт-менеджер,https://vladimir.hh.ru/vacancy/76404547?from=vacancy_search_list&query=data+science,Москва,120000.0,,руб.
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/77020530?from=vacancy_search_list&query=data+science,Куба (Азербайджан),,4000.0,EUR
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/77020380?from=vacancy_search_list&query=data+science,Батуми,,4000.0,EUR
Аналитик данных / Data Insight Analytic,https://vladimir.hh.ru/vacancy/76754279?from=vacancy_search_list&query=data+science,Москва,,220000.0,руб.
Аналитик-программист (Data Engineer),https://vladimir.hh.ru/vacancy/76287517?from=vacancy_search_list&query=data+science,"Москва, Дмитровская и еще 1 ",100000.0,200000.0,руб.
Machine Learning Engineer,https://vladimir.hh.ru/vacancy/76735944?from=vacancy_search_list&query=data+science,Тбилиси,4000.0,8000.0,USD
Global Head of Data Science & Analytics,https://vladimir.hh.ru/vacancy/76765163?from=vacancy_search_list&query=data+science,Москва,550000.0,,руб.
